date,latitude,longitude,country,state_province,Fishing Rod,location_name,geo_code,search_term,year,language_code
2024-10-20,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-10-27,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-11-03,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-11-10,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-11-17,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-11-24,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-12-01,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-12-08,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-12-15,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-12-22,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
2024-12-29,18.0106,-76.7847,Jamaica,Saint Andrew,0,Half Way Tree,JM-02,Fishing Rod,2024,en
