date,latitude,longitude,country,state_province,Cleaning Fish,location_name,geo_code,search_term,year,language_code,Cooking Fish,Fishing,Fishing Bait,Fishing Boat,Fishing Conditions,Fishing License,Fishing nets,Fishing Rod,Where to fish,Bass Fishing,Fly Fishing,Trout Fishing,week_number
2024-03-31,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-04-07,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-04-14,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-04-21,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-04-28,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-05-05,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-05-12,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-05-19,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-05-26,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-06-02,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-06-09,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-06-16,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-06-23,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-06-30,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-07-07,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-07-14,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-07-21,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-07-28,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-08-04,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-08-11,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-08-18,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-08-25,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-09-01,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-09-08,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-09-15,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-09-22,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-09-29,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-10-06,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-10-13,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-10-20,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-10-27,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-11-03,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-11-10,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-11-17,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-11-24,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-12-01,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-12-08,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-12-15,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-12-22,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2024-12-29,18.0106,-76.7847,Jamaica,Saint Andrew,0.0,Half Way Tree,JM-02,Cleaning Fish,2024,en,,,,,,,,,,,,,
2023-12-31,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-01-07,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-01-14,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-01-21,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-01-28,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-02-04,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-02-11,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-02-18,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-02-25,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-03-03,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-03-10,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-03-17,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-03-24,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-03-31,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-04-07,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-04-14,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-04-21,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-04-28,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-05-05,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-05-12,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-05-19,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-05-26,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-06-02,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-06-09,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-06-16,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-06-23,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-06-30,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-07-07,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-07-14,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-07-21,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-07-28,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-08-04,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-08-11,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-08-18,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-08-25,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-09-01,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-09-08,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-09-15,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,61.0,,,,,,,,,,,,
2024-09-22,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-09-29,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-10-06,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-10-13,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-10-20,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-10-27,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-11-03,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-11-10,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-11-17,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-11-24,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-12-01,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-12-08,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-12-15,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-12-22,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2024-12-29,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Cooking Fish,2024,en,0.0,,,,,,,,,,,,
2023-12-31,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-01-07,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-01-14,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,68.0,,,,,,,,,,,
2024-01-21,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-01-28,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-02-04,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-02-11,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-02-18,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,75.0,,,,,,,,,,,
2024-02-25,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-03-03,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-03-10,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-03-17,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-03-24,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-03-31,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-04-07,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,72.0,,,,,,,,,,,
2024-04-14,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-04-21,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,80.0,,,,,,,,,,,
2024-04-28,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-05-05,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-05-12,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-05-19,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-05-26,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-06-02,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-06-09,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-06-16,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-06-23,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-06-30,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-07-07,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-07-14,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-07-21,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-07-28,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-08-04,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-08-11,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-08-18,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-08-25,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-09-01,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,75.0,,,,,,,,,,,
2024-09-08,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-09-15,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,85.0,,,,,,,,,,,
2024-09-22,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,82.0,,,,,,,,,,,
2024-09-29,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-10-06,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-10-13,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-10-20,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,77.0,,,,,,,,,,,
2024-10-27,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-11-03,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-11-10,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-11-17,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-11-24,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-12-01,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,100.0,,,,,,,,,,,
2024-12-08,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-12-15,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-12-22,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2024-12-29,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing,2024,en,,0.0,,,,,,,,,,,
2023-12-31,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing Bait,2024,en,,,0.0,,,,,,,,,,
2024-01-07,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing Bait,2024,en,,,0.0,,,,,,,,,,
2024-01-14,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing Bait,2024,en,,,0.0,,,,,,,,,,
2024-01-21,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing Bait,2024,en,,,0.0,,,,,,,,,,
2024-01-28,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing Bait,2024,en,,,0.0,,,,,,,,,,
2024-02-04,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing Bait,2024,en,,,0.0,,,,,,,,,,
2024-02-11,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing Bait,2024,en,,,0.0,,,,,,,,,,
2024-02-18,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing Bait,2024,en,,,0.0,,,,,,,,,,
2024-02-25,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing Bait,2024,en,,,0.0,,,,,,,,,,
2024-03-03,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing Bait,2024,en,,,0.0,,,,,,,,,,
2024-03-10,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing Bait,2024,en,,,0.0,,,,,,,,,,
2024-03-17,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing Bait,2024,en,,,0.0,,,,,,,,,,
2024-03-24,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing Bait,2024,en,,,0.0,,,,,,,,,,
2024-03-31,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing Bait,2024,en,,,0.0,,,,,,,,,,
2024-04-07,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing Bait,2024,en,,,0.0,,,,,,,,,,
2024-04-14,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing Bait,2024,en,,,0.0,,,,,,,,,,
2024-04-21,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing Bait,2024,en,,,0.0,,,,,,,,,,
2024-04-28,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing Bait,2024,en,,,0.0,,,,,,,,,,
2024-05-05,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing Bait,2024,en,,,0.0,,,,,,,,,,
2024-05-12,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing Bait,2024,en,,,0.0,,,,,,,,,,
2024-05-19,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing Bait,2024,en,,,0.0,,,,,,,,,,
2024-05-26,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing Bait,2024,en,,,0.0,,,,,,,,,,
2024-06-02,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing Bait,2024,en,,,0.0,,,,,,,,,,
2024-06-09,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing Bait,2024,en,,,0.0,,,,,,,,,,
2024-06-16,18.0106,-76.7847,Jamaica,Saint Andrew,,Half Way Tree,JM-02,Fishing Bait,2024,en,,,0.0,,,,,,,,,,
